BACTERIO_DETAILS_ID,WELL_TEST_ID,LAB_SAMPLE_NUMBER,LAB_NAME,LAB_LOCATION,CREATE_TIMESTAMP,CREATE_USERID
1063895,2259,B43929,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063899,742,B43929,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063903,544,B57790,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063907,346,B63274,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063911,790,471574-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063915,347,B74332,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063919,298,B78393,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063923,50,B87835,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063927,2359,B87758,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063939,2260,477754-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063943,348,466108-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063947,743,479128-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063951,99,479133-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063955,199,479126-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063959,545,479131-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063963,2360,479504-2,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063967,2210,479882-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063975,51,C18321,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063979,149,C18421,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063983,744,480734-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1063991,984,B92840,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1063999,494,481607-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064007,249,481728-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064011,299,481638-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064015,300,481551-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064027,791,483158-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
