EXCEEDANCE_ID,WELL_TEST_ID,EXCEEDANCE_REQUIRED,NOTIFICATION_DATE,NOTIFICATION_METHOD,CREATE_TIMESTAMP,CREATE_USERID
101926,11311,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101928,11944,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101930,9067,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101932,11312,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101934,7441,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101936,12642,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101938,8251,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101940,8846,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101942,4813,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101944,9414,Yes,2009-03-01,Letter,2011-10-20 10:38:47.710000000,CONVERSION
101946,10507,Yes,2009-03-01,Letter,2011-10-20 10:38:47.710000000,CONVERSION
101948,11945,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101950,7279,Yes,2009-01-23,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
101952,6630,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101954,8545,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101956,6631,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101958,4814,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101960,8346,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101962,8347,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101964,8252,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101966,11583,Yes,,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
101968,8253,Yes,2009-01-09,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
101970,10199,Yes,2009-01-23,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
101972,5398,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101974,9529,Yes,2009-01-26,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
101976,8847,Yes,2009-01-16,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
101978,9780,Yes,2009-01-14,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
101980,5370,No,,,2011-10-20 10:38:47.710000000,CONVERSION
