GAS_ANALYSIS_INFO_ID,GAS_DETAILS_ID,PARAMETER_NAME,PARAMETER_VALUE,PARAMETER_VALUE_PRECISION,PARAMETER_UNITS,PARAMETER_OP,DETECT_LIMIT,DETECT_LIMIT_PRECISION,CREATE_TIMESTAMP,CREATE_USERID
2136527,1069339,Nitrogen,9568,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136529,1069339,Carbon Dioxide,3500,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136531,1069339,Hydrogen Sulphide,1,0,ppm,<,1,0,2011-10-20 10:38:47.710000000,CONVERSION
2136533,1069339,Methane,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136535,1069339,Ethane,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136537,1069339,Propane (total),10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136539,1069339,Iso-Butane,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136541,1069339,Normal Butane,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136543,1069339,Hexanes,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136545,1069343,Hydrogen,700,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136547,1069343,Helium,900,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136549,1069343,Nitrogen,9615,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136551,1069343,Carbon Dioxide,3100,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136553,1069343,Hydrogen Sulphide,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136555,1069343,Methane,100,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136557,1069343,Ethane,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136559,1069343,Propane (total),10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136561,1069343,Iso-Butane,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136563,1069343,Normal Butane,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136565,1069343,Hexanes,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136567,1069347,Hydrogen,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136569,1069347,Helium,200,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136571,1069347,Nitrogen,979800,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136573,1069347,Carbon Dioxide,720,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136575,1069347,Hydrogen Sulphide,1,0,ppm,<,1,0,2011-10-20 10:38:47.710000000,CONVERSION
2136577,1069347,Methane,340,0,ppm,,10,0,2011-10-20 10:38:47.710000000,CONVERSION
2136579,1069347,Ethane,10,0,ppm,<,10,0,2011-10-20 10:38:47.710000000,CONVERSION
