GAS_DETAILS_ID,WELL_TEST_ID,LAB_SAMPLE_NUMBER,LAB_NAME,LAB_LOCATION,CREATE_TIMESTAMP,CREATE_USERID
1065187,790,465422-12,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1065251,51,C18322,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065315,889,B92851,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065335,52,C26726,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065339,351,C30891,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065403,987,C61225,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065435,5,C20796,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065479,250,494932-4,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1065487,2364,496004-2,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1065499,2263,D35684,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065543,2264,501560-3,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1065587,749,507389-2,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1065591,397,507385-2,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1065615,2368,511016-2,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1065643,305,D95698,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065655,989,489918-2,Norwest Labs,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065679,497,L430687-3,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065687,306,L431652-4,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065859,842,L448587-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065863,2313,L444667-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065867,308,L448726-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065879,62,L448981-3,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065907,700,L452303-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065927,363,L460006-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065931,2370,L463456-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065947,753,108735-3,Kaizen Lab,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065995,798,L454845-3,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065999,701,L454845-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066027,2314,L456639-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066087,602,L456161-1,,,2011-10-20 10:38:47.710000000,CONVERSION
1066123,800,L452745-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066219,850,L458863-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066223,706,L459972-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066259,707,L460912-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066263,852,L462174-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066355,708,L464422-6,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066375,502,L464422-4,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066379,902,L464890-2,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066423,2270,465706-3,Norwest Labs,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1066459,605,L465705-2,Maxxam Analytics Inc.,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
