ISO_ANALYSIS_INFO_ID,ISO_DETAILS_ID,PARAMETER_NAME,PARAMETER_VALUE,PARAMETER_VALUE_PRECISION,PARAMETER_UNITS,CREATE_TIMESTAMP,CREATE_USERID
1126393,1062287,Methane,-64.63,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126395,1062287,Ethane,-50.31,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126397,1062291,Carbon Dioxide,-17.63,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126399,1062291,Methane,-64.88,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126401,1062291,Ethane,-48.19,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126403,1055819,Carbon Dioxide,-17.64,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126405,1055819,Methane,-72.16,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126407,1055819,Ethane,-27.83,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126409,1055819,Propane,-12.9,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126411,1055819,iso-Butane,-26.98,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126413,1055827,Carbon Dioxide,-22.2,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126415,1055827,Methane,-56,0,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126417,1055947,Carbon Dioxide,-27.8,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126419,1055947,Methane,-69.27,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126421,1055947,Ethane,-49,0,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126423,1062395,Carbon Dioxide,-30.64,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126425,1062395,Methane,-64.8,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126427,1062395,Ethane,-53.22,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126429,1055979,Carbon Dioxide,-20.53,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126431,1055979,Methane,-64.81,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126433,1055979,Ethane,-48.08,2,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126435,1056011,Carbon Dioxide,-19.3,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126437,1056011,Methane,-41.6,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126439,1056015,Carbon Dioxide,-16.4,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126441,1056015,Methane,-44.8,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126443,1056039,Carbon Dioxide,-6.9,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126445,1056039,Methane,-70.1,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126447,1056047,Carbon Dioxide,-19.1,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126449,1056047,Methane,-62.5,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
1126451,1056051,Carbon Dioxide,-9.2,1,delta-13C per mil PDB,2011-10-20 10:38:47.710000000,CONVERSION
