ISO_DETAILS_ID,WELL_TEST_ID,LAB_SAMPLE_NUMBER,LAB_NAME,LAB_LOCATION,ISO_STANDARD,CREATE_TIMESTAMP,CREATE_USERID
1050419,889,B92851,Maxxam Analytics Inc.,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1050439,52,C26726,Maxxam Analytics Inc.,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1050443,351,C30891  (SQ0103),Maxxam Analytics Inc.,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1050507,987,C61225,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1050603,2263,D35684,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1050747,305,D95698,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1051031,363,L46006-2,University of Calgary,Calgary,PDB,2011-10-20 10:38:47,CONVERSION
1051035,2370,L463456-2,University of Calgary,Calgary,PDB,2011-10-20 10:38:47,CONVERSION
1051527,2270,465706-6,Norwest Labs,Calgary,,2011-10-20 10:38:47.710000000,CONVERSION
1051691,113,L468094,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1051867,163,L473527-2,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1051927,450,E37931,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052011,904,E48118,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052219,657,C64340043,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052235,910,C64340051,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052239,121,C64340052,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052299,16,C64340077,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052395,564,L416550-1,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052427,1007,C64340141,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052431,915,C64340142,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052435,79,C64340143,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052439,328,C64340144,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052451,1008,C64340149,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052475,660,L421063,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052491,862,C64340162,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052495,2324,C64340165,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052503,217,C64340167,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052539,661,C64340184,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052543,124,C64340185,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052559,457,C64340190,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052623,330,C64340211,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052647,814,C64340219,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052675,719,C64340231,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052679,332,C64340234,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052683,20,C64340236,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052719,2328,C64340248,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052731,423,C64340261,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052739,271,C64340263,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052747,774,C64340265,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052763,816,L434808-1,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052775,865,C64340276,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052811,1013,C64340306,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052815,460,C64340307,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052819,84,C64340308,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052835,1014,L451244-1,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052879,272,C64340345,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052883,427,C64340346,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052943,175,L463885-1,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052947,520,C64340366,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052951,128,C64340368,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1052975,334,C64340386,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1053203,823,C63490417,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1053207,178,C63490418,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1053219,1017,C63490422,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1053507,728,L444921-1,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1053579,180,L495314-3,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1053699,729,L488873-1,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1053751,2337,L487113-1,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1053767,829,L487632-1,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1053779,782,L488872-1,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1053803,2403,C64340469,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1053899,343,C64340494,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1053911,877,C64340498,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1054091,679,C64340518,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054099,1028,C64340517,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054127,2406,C64340528,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054135,835,C64340529,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054143,2234,L516914-1,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054207,137,,University of Calgary,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054255,95,6642060727002,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054259,2288,6642060630002,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054471,631,6613060623002,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054575,192,6595060627003,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054627,31,M013446,Maxxam Analytics Inc.,Calgary,PDB,2011-10-20 10:38:47.710000000,CONVERSION
1054775,934,L508005-2,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1054783,4200,L509273-2,University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1054831,487,,Norwest Labs,Calgary,,2011-10-20 10:38:47.710000000,CONVERSION
1054859,4202,,Norwest Labs,Edmonton,,2011-10-20 10:38:47.710000000,CONVERSION
1054879,489,,Norwest Labs,Calgary,,2011-10-20 10:38:47.710000000,CONVERSION
1054883,2244,,Norwest Labs,Edmonton,,2011-10-20 10:38:47.710000000,CONVERSION
1054895,1527,,Norwest Labs,Calgary,,2011-10-20 10:38:47.710000000,CONVERSION
1054907,1190,L483481-3(A082824),University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
1054915,636,L485481-2 (A074386),University of Alberta,Edmonton,PDB,2011-10-20 10:38:47,CONVERSION
