WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
1,,,,51.016138,-113.270526,,3,NE,24,24,4,,,approx. 1/2 mile south of barn on south fence line,NE-03-024-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
2,,,,51.039117,-113.242148,,14,SE,24,24,4,,,in quonset on north side of big door,SE-14-024-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
3,,,,51.38762,-113.123935,,14,SE,28,23,4,,,approx. 175 feet northwest of house,SE-14-028-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4,,,,51.165574,-112.870591,,28,NE,25,21,4,,,,NE-28-025-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
5,,,,51.400417,-112.950217,,18,NW,28,21,4,,,approx. 250 feet south of house,NW-18-028-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
6,,291527,,51.034039,-113.309358,,8,NE,24,24,4,1998,,in northeast corner of garage,NE-08-024-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
7,,291528,,51.032981,-113.309191,,8,NE,24,24,4,1998,,in pumphouse approx. 30 feet north of house,NE-08-024-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
9,,136149,,52.041116,-113.457584,1,35,SE,35,25,4,,,,1-35-035-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
10,,136150,,52.044729,-113.463069,1,35,SE,35,25,4,,,,1-35-035-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
11,,233098,,53.076538,-112.607832,4,29,SW,47,18,4,,,,4-29-047-18-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
13,,233489,,52.984901,-110.844424,14,20,NW,46,6,4,,,,14-20-046-06-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
14,,143247,,52.88495,-112.47361,16,13,NE,45,18,4,,,,16-13-045-18-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
15,,138518,,53.105854,-112.637849,1,1,SE,48,19,4,,,,1-01-048-19-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
16,,235382,,51.681786,-113.093577,5,29,SW,31,22,4,,,,5-29-031-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
17,,235756,,52.532262,-110.814717,13,16,NW,41,6,4,,,,13-16-041-06-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
18,,,,53.0099,-113.575849,6,33,SW,46,25,4,,,,6-33-046-25-W4,,metres,2011-10-20 10:38:47,CONVERSION
19,,237016,,53.072312,-113.49477,10,19,NE,47,24,4,,,,10-19-047-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
20,,237017,,53.072312,-113.49477,10,19,NE,47,24,4,,,,10-19-047-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
21,,237088,,53.072371,-113.458182,12,21,NW,47,24,4,,,,12-21-047-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
22,,237096,,53.072371,-113.458182,12,21,NW,47,24,4,,,,12-21-047-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
23,,237425,,53.092338,-113.516104,1,36,SE,47,25,4,,,,1-36-047-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
24,,237646,,53.08694,-113.470398,9,29,NE,47,24,4,,,,9-29-047-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
25,,237849,,53.08348,-113.490215,9,30,NE,47,24,4,,,,9-30-047-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
26,,237940,,52.507229,-113.337189,4,12,SW,41,24,4,,,,4-12-041-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
27,,238716,,52.538324,-113.100648,1,21,SE,41,22,4,,,,1-21-041-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
28,,238835,,51.477964,-111.311828,6,14,SW,29,10,4,,,,6-14-029-10-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
29,,238841,,53.085396,-113.469334,9,29,NE,47,24,4,,,,9-29-047-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
30,,240453,,51.887328,-112.740822,5,2,SW,34,20,4,,,,5-02-034-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
31,,241806,,52.079974,-113.314448,12,12,NW,36,24,4,,,,12-12-036-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
32,,132562,,52.783646,-113.184651,15,7,NE,44,22,4,,,,15-07-044-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
33,,132568,,52.78431,-113.165719,14,8,NW,44,22,4,,,,14-08-044-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
35,,,,52.773611,-113.147224,4,9,SW,44,22,4,,,,4-09-044-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
36,,132577,,52.783888,-113.1275,16,9,NE,44,22,4,,,,16-09-044-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
37,,132579,,52.773096,-113.108966,2,10,SE,44,22,4,,,,2-10-044-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
38,,130446,,52.539599,-112.278271,5,20,SW,41,16,4,,,,5-20-041-16-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
39,,130634,,52.58317,-111.426397,2,6,SE,42,10,4,,,,2-06-042-10-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
