WELL_MEASURES_ID,WELL_TEST_ID,WELL_COMPLETION_INTERVAL,CURRENT_WELL_USE,WELL_DEPTH,WELL_DEPTH_TEXT,WELL_COMPLETION_UNIT,DEPTH_UNIT,WELL_IN_PIT,CREATE_TIMESTAMP,CREATE_USERID
1179333,888,160-200,Household & Agricultural,61,,ft,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179335,687,,Household,22.3,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179337,293,,Household,36.29,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179339,1719,,Household & Agricultural,43.1,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179341,1813,100-110,Household,117,,ft,feet,,2011-10-20 10:38:47.710000000,CONVERSION
1179343,1720,,Household & Agricultural,24.76,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179345,2246,75-135,Household & Stock,135,,ft,feet,,2011-10-20 10:38:47.710000000,CONVERSION
1179347,193,,Household,29.11,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179349,537,195-213,Household & Agricultural,220,,ft,feet,,2011-10-20 10:38:47.710000000,CONVERSION
1179351,2247,,Household & Agricultural,28.4,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179353,1191,,Domestic,43,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179355,1814,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179357,1528,,Domestic,76.2,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179359,4203,,Stock,69,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179361,2298,,Stock,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179363,34,,Domestic,52,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179365,1084,42.6 - 54.8m,Domestic,54.8,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179367,490,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179369,688,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179371,4204,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179373,1529,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179375,242,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179377,637,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179379,1815,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179381,243,36.58-42.67,Domestic,42.67,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179383,2299,51.82 - 58.83 m,Domestic,64.01,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179385,2218,29.87 - 35.66,Domestic,39.62,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179387,764,46.02 to 53.34 m,Domestic,60.05,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179389,115,24.38 to 30.48 m,Domestic,30.48,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179391,12,35.97 to 62.06 m,Domestic,42.06,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179393,856,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179395,162,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179397,2271,24.38 - 63.09,Domestic,64.02,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179399,320,39.62 to 45.11 m,Domestic,46.94,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179401,264,,Domestic,,,,,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179403,2272,38.71 to 40.23 m,Domestic,40.23,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179405,411,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179407,765,13.41 - 22.56 m,Domestic,22.86,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179409,2381,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179411,713,7.62 - 24.0792 m,Domestic,24.38,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179413,999,53.34 to 62.48,Agricultural,62.48,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179415,556,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179417,805,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179419,369,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179421,2382,,Domestic,56.69,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179423,557,,Domestic,52,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179425,2273,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179427,558,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179429,370,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179431,652,11.28 - 14.63 m,Domestic,18.29,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179433,653,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179435,13,46.63 to 47.24 m,Domestic,47.24,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179437,69,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179439,412,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179441,654,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179443,506,61.264 - 67.3608 m,Domestic,67.36,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179445,559,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179447,2219,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179449,163,39.62 tp 45.72 m,Domestic,45.72,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179451,1000,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179453,2383,18.29 - 21.64 m,Domestic,21.64,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179455,1001,,Domestic,18.29,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179457,606,36.57 - 42.67 m,Domestic,42.67,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179459,806,,Domestic,33.5,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179461,607,43.3 to 48.8 m,Domestic,49.01,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179463,2317,43.59-48.77,Domestic,48.77,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179465,507,27.43 to 30.48 m,Domestic,31.39,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179467,1002,64.01 to 73.15 m,Domestic,73.15,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179469,265,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179471,371,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179473,1003,,Domestic,47.24,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179475,372,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179477,857,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179479,450,,Domestic/Stock,94.49,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179481,70,21.34 to 33.53 m,Domestic,33.53,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179483,413,18.29m - 24.38m,Domestic,106.63,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179485,2220,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179487,2274,,Domestic,24.38,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179489,2318,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179491,321,20.73 to 23.16 m,Agricultural,23.16,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179493,560,64.01 - 70.1,Domestic,72.24,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179495,373,35.66 - 45.76 m,Domestic,41.76,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179497,71,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179499,858,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179501,451,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179503,452,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179505,322,49.68 - 54.25 m,Agricultural,56.69,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179507,2319,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179509,72,8.53 to 12.5 m,Domestic,13.72,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179511,374,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179513,714,5.1 - 13.11,Domestic,27.43,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179515,859,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179517,807,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179519,116,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179521,904,48.16 - 79.25,Domestic/Stock,79.25,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179523,1004,,Domestic,40.2,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179525,14,,Domestic,9.1,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179527,905,,Domestic,61,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179529,655,,Domestic,36.6,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179531,808,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179533,715,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179535,117,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179537,906,,Domestic,35,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179539,809,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179541,561,28.35 to 30.78 m,Agricultural,54.86,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179543,164,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179545,810,28.04 - 31.39 m,Domestic,33.53,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179547,266,,Domestic,54.86,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179549,414,,Irrigation,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179551,766,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179553,2221,,Domestic,51,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179555,118,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179557,508,,Domestic,,,,,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179559,73,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179561,121,320ft-350ft,Domestic,122,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179563,911,46ft to 60ft,Domestic,22.5,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179565,2320,35.35-40.84 m,Agricultural,41.14,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179567,213,133-173 ft,Agricultural,51,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179569,2386,,Domestic/Agricultural,45.7,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179571,453,,Domestic/Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179573,2321,,Domestic/Agricultural,120,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179575,771,,Domestic/Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179577,122,,Domestic,,,,,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179579,513,,Domestic,31.5,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179581,514,,Domestic/Agricultural,24,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179583,912,100ft - 120ft,,33,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179585,1006,,Domestic,48,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179587,214,140-160 FT,Domestic,91.44,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179589,16,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179591,454,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179593,375,,Domestic/Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179595,416,,,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179597,2222,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179599,325,100ft-145ft,Domestic/Agricultural,48.6,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179601,77,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179603,417,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179605,658,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179607,17,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179609,913,,Domestic,30.3,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179611,2901,,,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179613,2322,,Domestic/Agricultural,24,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179615,659,,Domestic/Agricultural,36,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179617,215,,Domestic,39,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179619,78,74' to 94',Domestic,30.5,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179621,326,,,49.5,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179623,861,,Domestic/Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179625,515,,Domestic/Agricultural,123.5,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179627,456,,Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179629,862,,Domestic/Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179631,2324,,Domestic/Agricultural,,,,,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179633,614,,Domestic/Agricultural,70,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179635,217,,Agricultural,,,,,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179637,418,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179639,269,,Domestic/Agricultural,20,,,metres,Yes,2011-10-20 10:38:47.710000000,CONVERSION
1179641,813,,Domestic,39.5,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179643,772,,Agricultural,3.5,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179645,419,115ft to 247ft,Domestic,76,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179647,420,,Domestic/Agricultural,41,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179649,2223,,Domestic/Agricultural,39.5,,,metres,,2011-10-20 10:38:47.710000000,CONVERSION
1179651,661,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179653,124,,Domestic,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179655,80,,Domestic/Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179657,2276,,,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
1179659,516,,Domestic/Agricultural,,,,,,2011-10-20 10:38:47.710000000,CONVERSION
