WELL_OWNER_ID,WELL_ID,OWNER_POST_CODE,OWNER_COUNTRY,OWNER_PROVINCE,OWNER_CITY,OCCUPANT_POST_CODE,OCCUPANT_CITY,CREATE_TIMESTAMP
1173833,1846,T1P 1K5,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173835,2811,T1P 1K5,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173837,1847,T1P 1J6,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173839,2937,T1P 1K5,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173841,1848,T1P 1K5,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173843,9222,T1P 1J6,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173845,2055,T1P 1J6,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173847,747,T0J 2T0,Canada,Alberta,Rosebud,,,2011-10-20 10:38:47.710000000
1173849,2056,T0J 0Y0,Canada,Alberta,Drumheller,,,2011-10-20 10:38:47.710000000
1173851,8015,T0J 3G0,Canada,Alberta,Standard,,,2011-10-20 10:38:47.710000000
1173853,2057,T1P 1J6,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173855,9223,T1P 1J6,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173857,746,T1P 1J6,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173859,2058,T0M 0M0,Canada,Alberta,Carbon,,,2011-10-20 10:38:47.710000000
1173861,742,T1P 1J6,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173863,2059,T1P 1J6,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173865,2060,T0J 2T0,Canada,Alberta,Rosebud,,,2011-10-20 10:38:47.710000000
1173867,2061,T0J 2T0,Canada,Alberta,Standard,,,2011-10-20 10:38:47.710000000
1173869,2062,T0J 2R0,Canada,Alberta,Rockyview,,,2011-10-20 10:38:47.710000000
1173871,743,T0J 2R0,Canada,Alberta,Rockyview,,,2011-10-20 10:38:47.710000000
1173873,232,T0J 2R0,Canada,Alberta,Rockyview,,,2011-10-20 10:38:47.710000000
1173875,233,T0J 2K0,Canada,Alberta,Rockyview,,,2011-10-20 10:38:47.710000000
1173877,744,T1P 1K5,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173879,2064,T0J 2T0,Canada,Alberta,Rosebud,,,2011-10-20 10:38:47.710000000
1173881,2065,T0J 040,Canada,Alberta,Drumheller,,,2011-10-20 10:38:47.710000000
1173883,2066,T1P 1K5,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173885,2067,T0J 0G0,Canada,Alberta,Big Valley,,,2011-10-20 10:38:47.710000000
1173887,8579,T0M 0G0,Canada,Alberta,Beiseker,,,2011-10-20 10:38:47.710000000
1173889,8537,T0M 0G0,Canada,Alberta,Beiseker,,,2011-10-20 10:38:47.710000000
1173891,2068,T0M 0G0,Canada,Alberta,Beiseker,,,2011-10-20 10:38:47.710000000
1173893,9224,T0M 0G0,Canada,Alberta,Beiseker,,,2011-10-20 10:38:47.710000000
1173895,2069,T0M 0G0,Canada,Alberta,Beiseker,,,2011-10-20 10:38:47.710000000
1173897,2070,T0M 0G0,Canada,Alberta,Beiseker,,,2011-10-20 10:38:47.710000000
1173899,727,T4A 2G7,Canada,Alberta,Airdrie,,,2011-10-20 10:38:47.710000000
1173901,2071,T1p 1K5,Canada,Alberta,Strathmore,,,2011-10-20 10:38:47.710000000
1173903,9013,T4L 1X2,Canada,Alberta,Lacombe,,,2011-10-20 10:38:47.710000000
1173905,2072,T0M 0L0,Canada,Alberta,Carbon,,,2011-10-20 10:38:47.710000000
