WQUAL_DETAILS_ID,WELL_TEST_ID,LAB_SAMPLE_NUMBER,LAB_NAME,LAB_LOCATION,RECEIVED_DATE,SAMPLING_LOCATION_DESC,WATER_SAMPLE_COMMENTS,CREATE_TIMESTAMP,CREATE_USERID
1064255,2259,B43929-1,Maxxam Analytics,Calgary,2006-05-29,hose off tank tee,,2011-10-20 10:38:47.710000000,CONVERSION
1064259,742,B43929-2,Maxxam Analytics,Calgary,2006-05-29,hose off outside tap,,2011-10-20 10:38:47.710000000,CONVERSION
1064263,544,B57790,Maxxam Analytics,Calgary,2006-06-08,1 m north of well,,2011-10-20 10:38:47.710000000,CONVERSION
1064267,346,B63274,Maxxam Analytics,Calgary,2006-06-13,,,2011-10-20 10:38:47.710000000,CONVERSION
1064271,790,471574-1,Bodycote Testing Group,Edmonton,2006-06-06,House Well 07-23-35-20 W4,,2011-10-20 10:38:47.710000000,CONVERSION
1064275,347,B74332,Maxxam Analytics,Calgary,2006-06-22,Tap off of pressure tank,,2011-10-20 10:38:47.710000000,CONVERSION
1064279,298,B78393,Maxxam Analytics,Calgary,2006-06-26,Dual taps on South and North side of House,,2011-10-20 10:38:47.710000000,CONVERSION
1064283,50,B87835,Maxxam Analytics,Calgary,2006-04-07,Off the tap on the west side of the house,,2011-10-20 10:38:47.710000000,CONVERSION
1064287,2359,B87758,Maxxam Analytics,Calgary,2006-04-07,tap on South side of House,,2011-10-20 10:38:47.710000000,CONVERSION
1064299,2260,477754-1,Bodycote Testing Group,Edmonton,2006-07-13,Well LSD:06-33-31-24W4 T. Gesyler House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064303,348,466108-1,Bodycote Testing Group,Edmonton,2006-05-25,NE 29-45-26 W4 / Well #2,,2011-10-20 10:38:47.710000000,CONVERSION
1064307,743,479128-1,Bodycote Testing Group,Edmonton,2006-07-19,Well LSD:07-17-35-25 W4 R. Murphy,,2011-10-20 10:38:47.710000000,CONVERSION
1064311,99,479133-1,Bodycote Testing Group,Edmonton,2006-07-19,Well LSD:06-19-34-24 W4 D. Cameron,,2011-10-20 10:38:47.710000000,CONVERSION
1064315,199,479126-1,Bodycote Testing Group,Edmonton,2006-07-18,Well LSD:06-19-34-24 W4 C.Scheunert,,2011-10-20 10:38:47.710000000,CONVERSION
1064319,545,479131-1,Bodycote Testing Group,Edmonton,2006-07-19,Well LSD:07-17-35-25 W4 G. McCormick,,2011-10-20 10:38:47.710000000,CONVERSION
1064323,2360,479504-2,Bodycote Testing Group,Edmonton,2006-07-20,Well LSD:15-20-31-24 W4 D. Evans - House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064327,2210,479882-1,Bodycote Testing Group,Edmonton,2006-07-21,Well LSD:06-04-33-24 W4 L. Peterson,,2011-10-20 10:38:47.710000000,CONVERSION
1064335,51,C18321,Maxxam Analytics,Calgary,2006-07-26,,,2011-10-20 10:38:47.710000000,CONVERSION
1064339,149,C18421,Maxxam Analytics,Calgary,2006-07-27,,,2011-10-20 10:38:47.710000000,CONVERSION
1064343,744,480734-1,Bodycote Testing Group,Edmonton,2006-07-25,14-4-33-24 W4 R Frere,,2011-10-20 10:38:47.710000000,CONVERSION
1064351,984,B92840,Maxxam Analytics,Calgary,2006-07-07,,,2011-10-20 10:38:47.710000000,CONVERSION
1064359,494,481607-1,Bodycote Testing Group,Edmonton,2006-07-27,Well LSD: 14-10-42-25 W4M W. Van de Pol House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064367,249,481728-1,Bodycote Testing Group,Edmonton,2006-07-29,Well LSD: 14-10-42-25 W4 D. Smith House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064371,299,481638-1,Bodycote Testing Group,Edmonton,2006-07-27,Well LSD: 14-16-42-25 W4M T. Pugh House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064375,300,481551-1,Bodycote Testing Group,Edmonton,2006-07-26,Well LSD: 8-10-42-25W4M R.Vogel,,2011-10-20 10:38:47.710000000,CONVERSION
1064387,791,483158-1,Bodycote Testing Group,Edmonton,2006-08-03,Well LSD: 11-4-31-21W4M K.Morris House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064391,349,483150-1,Bodycote Testing Group,Edmonton,2006-08-03,Well LSD: 16-27-31-22W4M T. Nakaska House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064395,1,B76453,Maxxam Analytics,Calgary,2006-06-23,,,2011-10-20 10:38:47.710000000,CONVERSION
1064399,889,B92850,Maxxam Analytics,Calgary,2006-07-07,,,2011-10-20 10:38:47.710000000,CONVERSION
