FIELD_NOTES_ID,WELL_TEST_ID,COMMENT_CATEGORY,ODOUR_CAT,FIELD_NOTE_COMMENTS,CREATE_TIMESTAMP,CREATE_USERID,H2S_TESTED,MODEL_PREDICTION
1058151,3570,Landowner,3,Water has sulfur taste and odour and is sometimes black in color.,38:47.7,CONVERSION,0,1
1058161,6812,Landowner,1,"Well used for domestic purposes, well completed with a pitless adapter, jet pump/pressure tank system, no water treatment system, well chlorinated in 2004, some sulphur taste and smell, brown staining in bathtub/sinks/laundry tub/toilet reservoir, well used consistently and pumped daily, fuel stored 100m east of well, septic field 100m south of well.",38:47.7,CONVERSION,0,1
1058163,3059,Landowner,2,"Rust rings in house. Landowner indicated fair water taste and odour, some sediment and good color.",38:47.7,CONVERSION,0,0
1058167,6536,Landowner,3,"Landowner indicated good water quality but expressed a complaint that 2-3 weeks after fracing of gas well, black staining formed on metal barn walls from washing and the water had a terrible odour. Condition has improved over the last 4 weeks.",38:47.7,CONVERSION,0,1
1058169,3378,Landowner,3,Landowner indicated good taste until 2-3 weeks after fracing. Some days water has odour.,38:47.7,CONVERSION,0,1
1058171,3571,Landowner,3,Landowner indicates poor taste and odour with fair color and sediment. Rust staining in house. Landowner indicates water quality has decreased since they moved to property.,38:47.7,CONVERSION,0,1
1058179,100,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 
TASTE:         Good      Fair ___ Poor ___ Comments: Water used for agricultural proposes only.__________________________________________
ODOUR:       Good     Fair ___ Poor ___ Comments: __________________________________________
COLOUR:     Good      Fair ___ Poor ___ Comments: ___________________________________________
SEDIMENT:  Good      Fair ___ Poor ___ Comments: __________________________________________
GAS OBSERVED IN WATER:   Yes  ___  No  ü",38:47.7,CONVERSION,0,0
1058183,55,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 
TASTE:         Good   ü   Fair ___ Poor ___ Comments: __________________________________________
ODOUR:       Good   ü  Fair ___ Poor ___ Comments: __________________________________________
COLOUR:     Good    ü   Fair    Poor ___ Comments:                                                                
SEDIMENT:  Good  ü    Fair ___ Poor ___ Comments: __________________________________________
GAS OBSERVED IN WATER:   Yes  ___  No  ü",38:47.7,CONVERSION,0,0
1058185,2368,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 
TASTE:         Good   ü   Fair ___ Poor ___ Comments: __________________________________________
ODOUR:       Good   ü   Fair ___ Poor ___ Comments: __________________________________________
COLOUR:     Good        Fair ü  Poor ___  Comments:  _________________________________________                                                                        
SEDIMENT:  Good  ü    Fair ___ Poor ___ Comments: __________________________________________
GAS OBSERVED IN WATER:   Yes  ___  No  ü",38:47.7,CONVERSION,1,0
1058187,252,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 
TASTE:         Good   ü   Fair ___ Poor ___ Comments: __________________________________________
ODOUR:       Good   ü  Fair ___ Poor ___ Comments: __________________________________________
COLOUR:     Good   ü   Fair ___ Poor ___ Comments: ___________________________________________
SEDIMENT:  Good  ü    Fair ___ Poor ___ Comments: __________________________________________
GAS OBSERVED IN WATER:   Yes  __  No  ü",38:47.7,CONVERSION,0,0
1058189,792,Landowner,2,Landowner indicated poor taste with no odour or sediment and good color to water. Brown water staining.,38:47.7,CONVERSION,0,0
1058219,8734,Landowner,3,One other inactive well on property. Landowner indicated poor taste and poor sulphur odour with good colour to water. Rust staining caused by water.,38:47.7,CONVERSION,0,1
1058223,3375,Landowner,3,Landowner indicated good taste and colour with sulfur odour and slight black sediment to water.,38:47.7,CONVERSION,0,1
1058225,5718,Landowner,2,"Original landowner, Jacques Dupont. One other well on property 500 m south. Landowner indicated fair taste with good odour, colour, and sediment. Slight rust staining caused by water. Historical pump test and water analyses in 2005 by Lousana Drilling because of nearby gas well.",38:47.7,CONVERSION,0,0
1058233,6809,Landowner,,"Well used for stock purposes, well in a pumphouse, 152mm well diameter, submersible pump /pressure tank system can be bypassed, no water treatment system, well has never been chlorinated, in spring there is a sulphur smell, small amount of gas present, well has been in consistent use during the summer and pumped daily, fuel stored 25m East of well, no septic field on site.",38:47.7,CONVERSION,0,1
