WELL_TEST_ID,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
2259,1064255,1130.0,10.9,0.03,0.03,8.36,1350.0,1890.0,0.26,39.0,24.4,0.008,0.01,477.0,10.8,693.0,2.1,2.9,3.96,0.03,93.0
742,1064259,945.0,0.5,0.03,0.03,8.06,1150.0,1750.0,0.4,55.0,40.2,0.019,0.01,477.0,17.4,647.0,1.8,2.7,2.38,0.03,98.0
544,1064263,593.0,0.5,0.003,4.48,7.93,724.0,952.0,0.38,350.0,26.1,0.253,0.05,237.0,56.7,199.0,4.8,51.8,0.07,4.48,89.0
346,1064267,307.0,21.8,0.003,0.003,8.9,330.0,460.0,0.48,5.9,2.7,0.006,0.03,93.4,1.9,176.0,0.5,0.3,1.2,0.003,95.0
790,1064271,397.0,13.0,0.02,0.05,8.54,459.0,1500.0,1.2,7.0,625.0,0.05,0.1,10.0,2.0,602.0,4.0,2.0,0.7,0.07,102.0
347,1064275,320.0,8.7,0.003,0.009,8.52,372.0,872.0,1.08,14.0,21.0,0.013,0.01,341.0,5.1,311.0,0.6,0.3,0.04,0.009,98.0
298,1064279,437.0,0.5,0.002,0.002,8.0,533.0,824.0,0.22,330.0,4.8,0.292,0.04,273.0,56.4,178.0,2.7,45.9,0.68,0.002,99.0
50,1064283,365.0,0.5,0.002,40.7,7.77,445.0,1280.0,0.16,920.0,34.7,0.014,0.08,488.0,180.0,55.4,3.6,114.0,0.15,40.7,98.0
2359,1064287,374.0,0.5,0.002,0.002,8.08,457.0,590.0,0.2,300.0,6.0,0.166,0.04,170.0,41.9,98.6,1.5,46.6,0.12,0.002,91.0
2260,1064299,604.0,23.0,0.03,0.05,8.56,688.0,1930.0,0.74,60.0,5.6,0.05,0.12,882.0,19.0,658.0,4.0,4.0,0.3,0.03,98.0
348,1064303,855.0,7.0,0.005,0.02,8.35,1030.0,909.0,1.16,10.0,11.3,0.005,0.01,0.9,3.3,380.0,1.2,0.4,0.2,0.02,96.0
743,1064307,508.0,6.0,0.005,0.01,8.27,619.0,836.0,0.55,43.0,0.7,0.012,0.04,217.0,11.1,297.0,2.0,3.6,0.1,0.02,94.0
99,1064311,607.0,28.0,0.005,0.02,8.62,684.0,1300.0,0.9,10.0,2.5,0.005,0.03,470.0,3.8,460.0,1.5,0.7,0.1,0.02,92.0
199,1064315,554.0,24.0,0.02,0.05,8.6,627.0,1520.0,0.99,10.0,2.8,0.05,0.1,647.0,4.0,530.0,4.0,1.0,0.1,0.07,95.0
545,1064319,516.0,6.0,0.005,0.01,8.11,629.0,967.0,0.38,78.0,0.9,0.034,0.47,307.0,20.1,320.0,2.5,6.8,0.4,0.02,93.0
2360,1064323,519.0,20.0,0.02,0.05,8.6,592.0,1420.0,0.95,10.0,2.6,0.05,0.1,584.0,5.0,513.0,4.0,1.0,1.6,0.07,100.0
2210,1064327,692.0,6.0,0.02,0.05,8.13,843.0,1690.0,0.4,100.0,4.6,0.09,0.74,653.0,27.0,581.0,6.0,8.0,2.6,0.07,99.0
51,1064335,451.0,12.2,0.003,0.044,8.53,525.0,703.0,0.33,23.0,9.8,0.011,0.01,146.0,6.3,267.0,1.1,1.8,0.01,0.044,98.0
149,1064339,463.0,0.5,0.003,0.003,8.14,565.0,756.0,0.17,240.0,3.3,0.162,0.2,201.0,57.1,191.0,2.3,22.6,0.23,0.003,97.0
744,1064343,717.0,6.0,0.02,0.07,7.95,874.0,2850.0,0.5,160.0,2.4,0.141,0.1,1430.0,49.0,922.0,6.0,9.0,0.3,0.07,98.0
984,1064351,324.0,0.5,0.003,0.974,8.16,395.0,342.0,0.18,310.0,10.4,0.025,0.04,11.9,79.3,11.5,2.5,27.8,0.4,0.974,96.0
494,1064359,520.0,8.0,0.005,0.02,8.4,618.0,804.0,0.34,70.0,0.7,0.016,0.01,181.0,20.1,284.0,1.6,4.8,0.1,0.02,97.0
249,1064367,621.0,24.0,0.005,0.01,8.61,708.0,877.0,0.19,20.0,0.4,0.014,0.01,171.0,6.3,325.0,1.4,0.9,0.1,0.02,91.0
299,1064371,471.0,6.0,0.005,0.01,8.27,574.0,879.0,0.23,161.0,2.4,0.16,0.14,272.0,39.2,265.0,2.0,15.4,0.2,0.02,98.0
300,1064375,465.0,7.0,0.005,0.06,8.37,553.0,546.0,0.28,113.0,1.8,0.013,0.09,47.4,26.4,178.0,1.5,11.5,0.7,0.06,97.0
791,1064387,1200.0,9.0,0.02,0.05,8.32,1450.0,1400.0,0.57,20.0,102.0,0.05,0.1,20.0,7.0,595.0,4.0,1.0,0.3,0.07,96.0
349,1064391,753.0,19.0,0.12,17.2,8.43,879.0,1540.0,1.2,90.0,9.8,0.011,0.1,484.0,23.0,565.0,4.0,7.0,1.0,17.3,98.0
1,1064395,427.0,0.5,0.003,2.95,8.01,521.0,514.0,0.17,380.0,19.0,0.004,0.03,47.8,90.4,46.7,3.8,36.4,0.05,2.95,94.0
889,1064399,568.0,42.6,0.003,0.003,8.97,607.0,614.0,3.63,4.3,11.7,0.004,0.01,1.6,1.3,254.0,0.6,0.2,0.02,0.003,93.0
2,1064403,415.0,0.5,0.004,0.01,8.08,506.0,485.0,0.18,200.0,3.3,0.234,0.59,47.4,56.6,111.0,1.9,14.4,0.59,0.013,95.0
350,1064407,407.0,13.8,0.03,0.004,8.56,469.0,889.0,1.31,16.0,6.6,0.012,0.01,314.0,5.8,316.0,0.5,0.5,0.26,0.004,94.0
394,1064411,281.0,0.5,0.003,0.003,8.2,343.0,589.0,0.58,77.0,11.2,0.138,0.03,191.0,23.3,189.0,0.9,4.5,0.52,0.003,98.0
301,1064415,753.0,5.0,0.09,0.21,8.3,917.0,929.0,1.0,37.0,5.4,0.29,0.28,106.0,9.6,349.0,1.3,3.1,0.43,0.3,91.3
52,1064419,417.0,37.2,0.003,0.003,9.02,433.0,478.0,3.36,2.5,18.7,0.043,0.02,3.4,1.0,203.0,0.4,0.2,0.05,0.003,97.0
351,1064423,566.0,26.3,0.003,0.003,8.72,637.0,766.0,1.78,6.0,9.7,0.004,0.01,106.0,2.0,306.0,0.6,0.3,0.04,0.003,97.0
302,1064427,544.0,26.7,0.003,0.278,8.71,609.0,768.0,3.86,7.2,2.5,0.004,0.01,128.0,2.3,303.0,0.7,0.4,0.48,0.278,97.0
444,1064431,335.0,8.8,0.003,0.003,8.48,391.0,1400.0,0.8,30.0,10.4,0.814,0.03,698.0,9.6,476.0,1.7,1.5,0.06,0.003,99.0
594,1064435,153.0,7.3,0.003,0.003,8.63,172.0,985.0,2.04,18.0,25.7,0.004,0.06,533.0,6.0,325.0,0.6,0.7,0.07,0.003,97.0
