geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-114.663735 51.907506),15267,15267,51.907506,-114.663735,1218525,446.0,12.0,0.01,0.27,8.47,519.0,558.0,1.54,105.0,2.0,0.005,0.1,16.0,25.7,176.0,1.9,10.0,0.1,0.27,104.0
POINT (-114.664958 51.908837),15268,15268,51.908837,-114.664958,1218526,310.0,64.0,0.01,0.02,9.62,247.0,386.0,0.85,21.0,27.0,0.005,0.1,4.0,3.6,157.0,2.0,2.9,6.0,0.02,103.0
POINT (-114.31471 51.849557),9509,2618,51.849557,-114.31471,1157083,460.0,6.0,0.005,0.12,8.06,561.0,503.0,0.21,128.0,9.1,0.054,0.01,18.0,33.2,152.0,2.9,10.9,2.5,0.12,94.0
POINT (-114.314706 51.856883),154,2732,51.856883,-114.314706,1157077,398.0,6.0,0.034,0.15,8.26,486.0,444.0,0.4,46.0,1.6,0.016,0.03,20.0,11.8,164.0,1.8,4.0,20.4,0.19,96.0
POINT (-114.302896 51.856877),2786,2991,51.856877,-114.302896,1157075,455.0,6.0,0.005,2.11,7.52,555.0,507.0,0.18,497.0,14.5,0.018,0.01,27.0,144.0,12.7,1.9,33.4,0.4,2.11,100.0
POINT (-114.302901 51.849552),3050,2087,51.849552,-114.302901,1157065,392.0,6.0,0.005,3.91,8.2,478.0,456.0,0.19,446.0,10.7,0.005,0.01,45.7,119.0,7.5,2.0,36.1,0.3,3.91,99.0
POINT (-114.291178 51.842265),7134,4733,51.842265,-114.291178,1216788,380.0,6.0,0.005,8.74,8.02,464.0,442.0,0.12,446.0,22.8,0.005,0.01,30.0,103.0,9.4,3.0,45.5,0.1,8.74,99.0
POINT (-114.291111 51.8423),152,2577,51.8423,-114.291111,1157071,392.0,6.0,0.005,0.01,8.13,477.0,446.0,0.05,339.0,19.0,0.123,0.02,28.0,86.2,40.8,4.7,30.1,1.3,0.02,98.0
POINT (-114.291104 51.84954),153,2924,51.84954,-114.291104,1157069,369.0,6.0,0.005,1.58,8.0,450.0,465.0,0.14,430.0,53.5,0.005,0.01,28.0,94.9,18.1,2.2,47.0,1.2,1.58,99.0
POINT (-114.35786 51.89292),7785,10150,51.89292,-114.35786,1202517,403.0,6.0,0.005,2.15,8.03,491.0,431.0,0.1,337.0,16.8,0.06,0.01,17.0,78.9,39.2,3.6,34.0,0.05,2.15,94.0
